"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Inter","Serie A","opponent",22,38,78,9,3,419,438,77,712,466,389,1,7,2,2017,477,538,47,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
2018,"Juventus","Serie A","team",24,38,NA,NA,1,432,493,79,672,421,359,5,4,2,2003,455,366,55.4,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Juventus","Serie A","opponent",24,38,88,7,5,519,415,42,609,467,363,4,8,4,1802,366,455,44.6,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats"
2018,"Köln","Bundesliga","team",31,34,NA,NA,1,479,478,81,663,389,502,2,9,0,1593,643,649,49.8,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"Köln","Bundesliga","opponent",31,34,58,4,2,501,457,51,736,367,447,7,3,2,1615,649,643,50.2,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats"
2018,"La Coruña","La Liga","team",32,38,99,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"La Coruña","La Liga","opponent",32,38,75,2,2,461,494,83,756,491,431,5,5,0,2085,584,558,51.1,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats"
2018,"Las Palmas","La Liga","team",36,38,88,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Las Palmas","La Liga","opponent",36,38,103,7,5,694,460,114,666,506,514,5,8,0,2163,540,474,53.3,"https://fbref.com/en/squads/0049d422/2017-2018/Las-Palmas-Stats"
2018,"Lazio","Serie A","team",24,38,NA,NA,3,435,350,97,734,494,450,9,10,2,2304,474,464,50.5,"https://fbref.com/en/squads/7213da33/2017-2018/Lazio-Stats"
