"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Min_Playing.Time_Generales","Min_percent_Playing.Time_Generales","onxG_Team.Success..xG._Generales","onG_Team.Success_Generales","onxGA_Team.Success..xG_Generales","Compl_Starts_Generales","MP_Playing.Time_Generales","Mins_Per_90_Porteria","Att (GK)_Passes_Porteria","#OPA_per_90_Sweeper_Porteria","Stp_crosses_compose_index_Porteria","Save_compose_index_Porteria","PSxG_compose_index_Porteria","Launched_compose_index_Porteria","Save_penalty_compose_index_Porteria"
"2018","RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK",27,2970,97.1,50.7,57,45.5,33,33,33,895,1,49.9301679786641,339.81043461596,-0.104033970276008,257.777116107967,0
"2018","Real Madrid","La Liga","Keylor Navas","CRC","GK",30,2430,71.1,63.6,72,30.5,27,27,27,537,1.15,22.3726319601688,348.697066588707,0.0936555891238671,197.097406035587,80.471895621705
"2018","Real Madrid","La Liga","Kiko Casilla","ESP","GK",30,900,26.3,20.7,20,11.3,10,10,10,195,0.5,16.2490198765792,211.21435740122,0.0476190476190476,177.22726121163,0
"2018","Real Sociedad","La Liga","Gerónimo Rulli","ARG","GK",25,2340,68.4,38.2,50,36.5,26,26,26,959,1.31,34.2625621042492,284.469784740836,-0.131105398457584,233.309110788301,35.8351893845611
"2018","Real Sociedad","La Liga","Miguel Ángel Moyá","ESP","GK",33,764,22.3,8.9,9,9.2,8,9,8.5,291,1.77,34.4494148738293,288.456290913602,0.111111111111111,258.355874553605,46.1636022252924
"2018","Rennes","Ligue 1","Tomáš Koubek","CZE","GK",24,3060,89.5,44.1,44,42.4,34,34,34,704,1.44,30.5582109919982,355.168615318916,0.15211970074813,225.826237953841,89.5879734614028
"2018","Roma","Serie A","Alisson","BRA","GK",24,3330,97.4,62.2,60,36.1,37,37,37,1069,2.43,22.1498377009348,400.381373187488,0.209039548022599,308.894014556099,71.6703787691222
"2018","Saint-Étienne","Ligue 1","Stéphane Ruffier","FRA","GK",30,3112,91,47.3,44,47.3,34,35,34.6,865,0.61,33.276163548079,371.278707924304,0.11522633744856,235.143963315238,32.4966994892237
"2018","Sampdoria","Serie A","Christian Puggioni","ITA","GK",36,810,23.7,13.9,18,14.6,9,9,9,234,2.33,34.0268348804291,331.085675864835,0.268292682926829,197.308383617084,0
"2018","Sampdoria","Serie A","Emiliano Viviano","ITA","GK",31,2430,71.1,38.2,37,42.7,27,27,27,632,0.7,18.1913556260628,336.945054934479,-0.00490196078431373,249.370975325434,129.792206941989
"2018","Sassuolo","Serie A","Andrea Consigli","ITA","GK",30,3316,97,45,29,47.5,36,37,36.8,813,0.62,23.0707036478142,347.33185346915,-0.128712871287129,295.538150070986,46.1636022252924
"2018","Schalke 04","Bundesliga","Ralf Fährmann","GER","GK",28,3015,98.5,46.1,53,39.8,33,34,33.5,714,0.54,71.0463273343728,355.168615318916,-0.0198300283286119,246.083907986445,77.8364059622125
"2018","Sevilla","La Liga","David Soria","ESP","GK",24,1264,37,21.6,20,21.3,14,15,14,279,0.93,31.7899041992882,288.281897284134,-0.0344827586206897,230.794872493487,0
"2018","Sevilla","La Liga","Sergio Rico","ESP","GK",23,2156,63,37.9,29,33.1,23,24,24,475,0.54,30.461252403314,276.035309133033,-0.137026239067055,180.2929307115,44.7939867307014
"2018","Southampton","Premier League","Alex McCarthy","ENG","GK",27,1620,47.4,16.2,17,19.9,18,18,18,304,0.56,35.0323194456378,267.595531090547,-0.268292682926829,169.70778008895,0
"2018","Southampton","Premier League","Fraser Forster","ENG","GK",29,1800,52.6,23.7,20,25.3,20,20,20,360,0.7,21.6716294406282,316.821252776137,-0.162790697674419,171.714864726778,69.3147180559945
"2018","SPAL","Serie A","Alex Meret","ITA","GK",20,1158,33.9,7.5,8,20.1,12,13,12.9,264,0,7.49922078454082,321.88142356477,0.285714285714286,207.85626373042,71.6703787691222
"2018","SPAL","Serie A","Alfred Gomis","SEN","GK",23,2261,66.1,28.2,31,37.6,24,26,25.1,571,0.8,18.6951243068099,364.228727931833,0.0848214285714286,204.831542474034,29.7360140460217
"2018","Stoke City","Premier League","Jack Butland","ENG","GK",24,3150,92.1,33.8,32,57.7,35,35,35,934,1.11,26.2951817243862,382.726100982627,0.0437601296596434,267.52681718125,0
"2018","Strasbourg","Ligue 1","Alexandre Oukidja","ALG","GK",29,1457,42.6,19.3,19,25.9,15,17,16.2,358,0.74,28.3453999585416,277.12796451224,-0.0469314079422383,239.810721293273,35.8351893845611
"2018","Strasbourg","Ligue 1","Bingourou Kamara","SEN","GK",20,1691,49.4,20.2,20,27.9,18,19,18.8,450,0.64,37.8481273956801,290.730618524413,-0.198501872659176,227.796604198576,0
"2018","Stuttgart","Bundesliga","Ron-Robert Zieler","GER","GK",28,3060,100,40.3,36,43.5,34,34,34,1029,1.09,39.0989067790777,400.958566975613,0.115479115479115,238.823826232205,64.7988079635419
"2018","Swansea City","Premier League","Łukasz Fabiański","POL","GK",32,3420,100,31.6,28,58.6,38,38,38,914,0.58,43.6780793520279,378.688914162162,0.092436974789916,259.988367050455,97.2955074527657
"2018","Torino","Serie A","Salvatore Sirigu","ITA","GK",30,3330,97.4,44.8,52,45.6,37,37,37,987,1.32,33.4512884822437,378.647143905851,0.0425531914893617,275.732650863057,82.3959216501082
"2018","Tottenham","Premier League","Hugo Lloris","FRA","GK",30,3240,94.7,62.7,72,32.3,36,36,36,938,2.08,24.2458276757121,342.535156036635,-0.0385756676557863,237.741145251888,0
"2018","Toulouse","Ligue 1","Alban Lafont","FRA","GK",18,3420,100,45.5,38,52.1,38,38,38,931,2.08,25.988235720633,352.795732474528,0.00383141762452107,281.500826637613,0
"2018","Troyes","Ligue 1","Erwin Zelazny","FRA","GK",25,1530,44.7,14.9,11,25.2,17,17,17,481,0.53,19.7959713378695,324.987383659088,-0.0810810810810811,211.507895681269,0
"2018","Troyes","Ligue 1","Mamadou Samassa","MLI","GK",27,1890,55.3,23.1,21,26.9,21,21,21,475,1,34.2352733337279,329.760561587168,-0.0380622837370242,189.287945535244,46.1636022252924
"2018","Udinese","Serie A","Albano Bizzarri","ARG","GK",39,2880,84.2,37.1,41,41.1,31,32,32,791,0.94,30.073445821141,323.03786447244,-0.0762331838565022,279.109275499706,89.5879734614028
"2018","Udinese","Serie A","Simone Scuffet","ITA","GK",21,540,15.8,6.1,7,8.2,6,6,6,115,0.33,5.71278390107417,197.59972745339,-0.176470588235294,136.753172946327,69.3147180559945
"2018","Valencia","La Liga","Jaume Doménech","ESP","GK",26,450,13.2,6.1,8,5.3,5,5,5,106,0.6,11.0167981181606,235.537434945904,0.27536231884058,145.943261179148,0
"2018","Valencia","La Liga","Neto","BRA","GK",28,2970,86.8,49.9,57,43,33,33,33,541,0.21,24.5515374056146,392.615250666504,0.244851258581236,215.494214633726,71.6703787691222
"2018","Villarreal","La Liga","Mariano Barbosa","ARG","GK",33,1125,32.9,19,22,15,12,13,12.5,230,0.4,11.5440532731157,283.713699732265,-0.0144927536231884,152.422269018191,0
"2018","Villarreal","La Liga","Sergio Asenjo","ESP","GK",28,2070,60.5,32.5,33,34.6,23,23,23,454,1.13,38.9445195562019,322.57392954117,0.0625,209.405827122098,97.2955074527657
"2018","Watford","Premier League","Heurelho Gomes","BRA","GK",36,2128,62.2,29.5,32,33.1,23,24,23.6,566,0.76,25.6860139675301,290.752592560999,-0.0833333333333333,254.701898156725,0
"2018","Watford","Premier League","Orestis Karnezis","GRE","GK",32,1292,37.8,15.5,12,18.7,14,15,14.4,323,0.63,28.6521738406278,252.690704239659,-0.212121212121212,217.700593267024,0
